nodeID,tau_HD,tau_bench,effective,seed_node
0,0.2073333333333331,0.2358385001242144,0.8791326828492046,0
1,0.23399999999999987,0.21612263397977682,1.0827186199382333,0
2,0.4506666666666667,0.22803436198958588,1.9763103364538028,0
3,0.254333333333333,0.2176060556312657,1.168778748346516,0
4,0.23433333333333323,0.23630775207698287,0.9916447144611387,0
5,0.43416666666666665,0.19612788920481228,2.2136916296145697,0
6,0.2546666666666665,0.1999698065414977,1.2735255940442094,0
7,0.465,0.18605418657119022,2.499271897985893,0
8,0.3833333333333333,0.2432633178787025,1.5757958769783507,0
9,1.0,0.22110631872536632,4.522711091047962,1
10,1.0,0.23600845875436036,4.237136267394588,1
11,0.33249999999999974,0.20250324461862923,1.6419490000083263,0
12,0.39666666666666667,0.2463797445940303,1.609980833936938,0
13,0.3573333333333332,0.14716008035680167,2.4281947418549192,0
14,0.3456666666666664,0.19454198145604393,1.7768229976868442,0
15,0.24766666666666656,0.2269652142729066,1.0912098026126074,0
16,0.4098333333333333,0.24941164165146065,1.6432004962545146,0
17,0.30566666666666636,0.21580310316304716,1.4164146028786435,0
18,0.347,0.20471058958962185,1.6950759640506243,0
19,0.5,0.535,0.9345794392523364,0
20,0.2954999999999999,0.190619170256267,1.550211343396007,0
21,0.32433333333333314,0.24032156264377513,1.3495806608668208,0
22,0.28449999999999986,0.1992125712828838,1.4281227242230967,0
23,0.3169999999999999,0.2453774340137976,1.2918873378640634,0
24,0.2384999999999998,0.210926637465099,1.130724894997974,0
25,0.26316666666666644,0.18997564366416825,1.3852652981762363,0
26,0.21249999999999983,0.2172631665979005,0.9780765112076448,0
27,0.2293333333333331,0.2829221696614789,0.8105880624616102,0
28,0.2863333333333331,0.2329716354417641,1.2290480460867428,0
29,0.2713333333333331,0.25668094925907425,1.0570840341542833,0
30,0.2819999999999997,0.18394372021421204,1.5330776156511132,0
31,0.2191666666666665,0.24599968407660716,0.8909225533737493,0
32,0.2706666666666665,0.16375991839701515,1.6528260963740193,0
33,0.3778333333333334,0.2121487043405811,1.7809834592567866,0
34,0.5,0.515,0.970873786407767,0
35,0.395,0.19303363501224463,2.0462755103531265,0
36,1.0,0.21093406800689712,4.740817874746065,1
37,0.5,0.53,0.9433962264150942,0
38,0.42516666666666675,0.21168130115498535,2.0085225494498222,0
39,1.0,0.24123083200952053,4.145407084449858,1
40,0.41333333333333333,0.21305843232543603,1.9399998808870773,0
41,0.40833333333333344,0.18742865207708956,2.178606786145939,0
42,0.4075,0.21859906586469088,1.8641433731113726,0
43,0.3725,0.1669484861017119,2.2312271808985296,0
44,1.0,0.15164657746624963,6.594280047121798,1
45,1.0,0.20229492729492726,4.9432776855649605,1
46,0.4575,0.23531087606225473,1.9442365251275597,0
47,0.34616666666666646,0.19454948263542013,1.7793245295613167,0
48,0.41916666666666663,0.19749663916330584,2.122398985838268,0
49,0.44166666666666676,0.14685410218197104,3.007520117615681,0
50,0.3466666666666665,0.22018716326408636,1.5744181519377864,0
51,0.3908333333333333,0.19824929844461095,1.9714235379376568,0
52,0.30616666666666636,0.2092013115090038,1.4635026160124682,0
53,0.3999999999999999,0.17700037146268763,2.2598822629268973,0
54,0.32049999999999984,0.226595968863521,1.4144117461905834,0
55,0.3924999999999999,0.2535920518875064,1.547761442358269,0
56,0.41250000000000014,0.20811526815625175,1.982074663019426,0
57,0.3716666666666665,0.2177192140777575,1.7070917155429715,0
58,0.3908333333333333,0.23952551354895105,1.6316981332907567,0
59,1.0,0.17473514388836967,5.722947185935615,1
60,1.0,0.20985560216948085,4.765181342132545,1
61,0.43250000000000005,0.1586787830027868,2.725632197421153,0
62,0.34666666666666657,0.17594966508900936,1.9702604519951483,0
63,0.3691666666666666,0.1946865028814744,1.896210888802169,0
64,0.26699999999999985,0.19187570203612986,1.3915258532824766,0
65,0.4341666666666668,0.20100982978811033,2.159927537495719,0
66,0.42,0.1808736132621332,2.3220634144755548,0
67,0.3958333333333335,0.2335726255502375,1.694690601695516,0
68,0.4525000000000001,0.21679694237386546,2.0872065585669826,0
69,0.39166666666666683,0.23440615568443623,1.6708889982989135,0
70,0.40250000000000014,0.2361261003306458,1.7045976680950647,0
71,0.39616666666666683,0.1737271275732814,2.2803961143003195,0
72,0.2866666666666664,0.23992377571923024,1.1948239219198384,0
73,0.3766666666666666,0.17796632543498506,2.1165052756245792,0
74,0.3049999999999999,0.2199177806320663,1.3868819479871002,0
75,0.27549999999999975,0.23222211815961816,1.1863641679929664,0
76,0.28283333333333316,0.22730927885102456,1.244266555078459,0
77,0.26716666666666655,0.14504174141270915,1.841998476193532,0
78,0.3066666666666664,0.260440061805608,1.1774942170592857,0
79,0.2393333333333332,0.1673061455848341,1.4305113090539587,0
80,0.5,0.535,0.9345794392523364,0
81,0.5,0.22997853116900735,2.174115981428538,0
82,0.5,0.1871235097839376,2.6720319674279605,0
83,0.2506666666666665,0.19097781558719057,1.3125433752394402,0
84,0.3318333333333332,0.19305074405880857,1.7188917605634695,0
85,0.24849999999999986,0.2048091665279165,1.2133245997372295,0
86,0.26483333333333303,0.19209140800269056,1.3786839093272907,0
87,0.2461666666666665,0.21132966425935173,1.1648467219659304,0
88,0.39283333333333337,0.2999285028696793,1.3097565905699258,0
89,0.2488333333333332,0.1975535748973249,1.2595739331098417,0
90,0.3808333333333334,0.294720311130739,1.292185570353834,0
91,0.2669999999999999,0.18678987876848838,1.4294136371860158,0
92,0.21483333333333313,0.19752410888774524,1.0876309456250977,0
93,0.23466666666666655,0.20332247117961402,1.15416001637794,0
94,0.2513333333333332,0.16134372681991727,1.5577508855603492,0
95,0.2116190476190475,0.2866345354981719,0.738288731507014,0
96,0.3014999999999997,0.22356986100092718,1.348571755826915,0
97,0.19511904761904744,0.21429459021370786,0.9105178409985181,0
98,0.21616666666666653,0.181608625061006,1.1902885482121337,0
99,0.206690476190476,0.2188518793298205,0.9444308946462522,0
100,0.3079999999999998,0.1777765884908742,1.7325115900500607,0
101,0.1933809523809522,0.2570742809379173,0.7522376477157322,0
102,0.24166666666666653,0.24283950824567072,0.9951703016223469,0
103,0.1993333333333331,0.21666592114353309,0.9200031656168125,0
104,0.18569047619047602,0.2676862761421585,0.693686949015879,0
105,0.21383333333333318,0.21581640161185614,0.9908113180290649,0
106,0.1878571428571427,0.22203059987150897,0.8460867239284011,0
107,0.2061666666666666,0.20980976488788988,0.9826361836725286,0
108,0.24066666666666647,0.22912826489749566,1.0503578280677537,0
109,0.24228571428571413,0.2794704478528008,0.866945740228419,0
110,0.24259523809523795,0.251596413536712,0.9642237529742821,0
111,0.2701666666666665,0.15651009595506749,1.726193221070088,0
112,0.23116666666666646,0.20234877969252968,1.1424169051966895,0
113,0.33366666666666644,0.2003641420308087,1.665301302342615,0
114,0.20685714285714274,0.2674412339796955,0.7734676503655664,0
115,0.2501666666666664,0.23329168661199912,1.0723342537393246,0
116,0.2729999999999998,0.2908127320440753,0.938748445025523,0
117,0.20899999999999977,0.2000256470959596,1.0448660111057402,0
118,0.2683333333333331,0.2390617195304695,1.1224437515983514,0
119,0.2329999999999998,0.23066504249977637,1.0101227193983053,0
120,0.21149999999999985,0.14813136720305836,1.4277867273720348,0
121,0.2124285714285713,0.235496341265572,0.9020461646536287,0
122,0.1706666666666665,0.19407485744184602,0.879385763391872,0
123,0.17461904761904745,0.20674029871890834,0.8446299473353567,0
124,0.17217857142857126,0.23039820028456393,0.7473086648069046,0
125,0.1739285714285713,0.2885967896837462,0.602669806615548,0
126,0.21069047619047615,0.24824008680960552,0.8487367165322938,0
127,0.5,0.14821211831015751,3.37354330874396,0
128,0.5,0.515,0.970873786407767,0
129,0.19519047619047608,0.21029720279720276,0.9281648714020478,0
130,0.18435714285714278,0.19525663730209183,0.944178622578213,0
131,0.1804047619047617,0.260776961134104,0.6917971630629938,0
132,0.2021071428571428,0.22515367080584472,0.897640896254472,0
133,0.1773452380952379,0.2651010141818966,0.6689723109605085,0
134,0.199690476190476,0.2294904531232656,0.8701472042639472,0
135,0.1956190476190475,0.2645689627832485,0.739387740576777,0
136,0.1767261904761903,0.21515244705543213,0.8213998627245841,0
137,0.1814523809523808,0.16794891306610055,1.0804022344637958,0
138,0.1720238095238093,0.22690042800336918,0.7581466947310253,0
139,0.19916666666666655,0.19490866877230514,1.0218461186009928,0
140,0.19995238095238071,0.2103473126200399,0.950582056227949,0
141,0.1963333333333333,0.19841304528804526,0.9895182700729543,0
142,0.1630357142857141,0.16072044275169278,1.0144055821050613,0
143,0.15855952380952362,0.17279787555280976,0.9176011180824114,0
144,0.2300952380952379,0.253659868978015,0.9071014623727512,0
145,0.3748571428571429,0.22716450216450218,1.650157217722725,0
146,0.3633333333333333,0.20183617736138743,1.800139787045141,0
147,0.2734999999999999,0.21828994583603892,1.2529207378402583,0
148,0.27866666666666645,0.2606400747944866,1.069162778925665,0
149,0.27083333333333315,0.19861710869775384,1.3635951862811302,0
150,0.2682619047619046,0.19795222698448503,1.3551850810091177,0
151,0.2229285714285713,0.24356078872885595,0.915289249111221,0
152,0.20959523809523786,0.28538058127610366,0.7344411352658083,0
153,0.22038095238095218,0.24336086118382771,0.9055727010042212,0
154,1.0,0.2027068104936957,4.93323336085494,1
155,0.18509523809523787,0.2527476737229059,0.7323321135614596,0
156,0.1712857142857141,0.27224427189597467,0.6291618666311659,0
157,0.2603333333333331,0.2392751803330551,1.0880080958291054,0
158,0.2056904761904761,0.25070943016613645,0.8204337429755719,0
159,0.1956190476190474,0.24888353833666332,0.7859862846952723,0
160,0.20807142857142832,0.21154415759678916,0.9835839048224627,0
161,0.19528571428571415,0.24458346313185023,0.7984420196897751,0
162,0.4033333333333334,0.20126064106833336,2.004034823661279,0
163,0.349,0.20937721789994518,1.6668480147958415,0
164,0.33066666666666655,0.2696213291916417,1.2264113809469241,0
165,0.23464285714285704,0.2592929872780619,0.9049332942091086,0
166,0.19573809523809504,0.24065861584518297,0.8133433932987234,0
167,0.20411904761904748,0.2012925536002459,1.0140417217042952,0
168,0.26183333333333314,0.2278823167920912,1.1489848664835947,0
169,0.2044999999999998,0.2714734892964558,0.7532963919606923,0
170,0.3042619047619046,0.22915729569575727,1.327742605087558,0
171,0.2566904761904761,0.19149400401522637,1.3404622119137772,0
172,0.18895238095238073,0.19272734434024752,0.9804129330957712,0
173,0.23399999999999976,0.28466095536408037,0.8220305440228519,0
174,0.19252380952380932,0.2954861059338672,0.6515494490522614,0
175,0.26699999999999985,0.1542547795868479,1.7309026061631665,0
176,0.26799999999999985,0.1775212662117424,1.5096782809127607,0
177,0.1746428571428569,0.18109809665416282,0.9643550118385105,0
178,0.18961904761904746,0.24407220984144062,0.7768973278122562,0
179,0.2528571428571427,0.3023805904240687,0.8362214734170847,0
